Taxable,Job,BillWithParent,Balance,BalanceWithJobs,PreferredDeliveryMethod,domain,sparse,Id,SyncToken,GivenName,FamilyName,FullyQualifiedName,CompanyName,DisplayName,PrintOnCheckName,Active,BillAddr_Id,BillAddr_Line1,BillAddr_City,BillAddr_CountrySubDivisionCode,BillAddr_PostalCode,BillAddr_Lat,BillAddr_Long,ShipAddr_Id,ShipAddr_Line1,ShipAddr_City,ShipAddr_CountrySubDivisionCode,ShipAddr_PostalCode,ShipAddr_Lat,ShipAddr_Long,CurrencyRef_value,CurrencyRef_name,MetaData_CreateTime,MetaData_LastUpdatedTime,PrimaryPhone_FreeFormNumber,PrimaryEmailAddr_Address,Mobile_FreeFormNumber,Fax_FreeFormNumber,WebAddr_URI,Level,ParentRef_value,BillAddr_Country,ShipAddr_Country,MiddleName
TRUE,FALSE,FALSE,239,239,Print,QBO,FALSE,1,0,Amy,Lauterbach,Amy's Bird Sanctuary,Amy's Bird Sanctuary,Amy's Bird Sanctuary,Amy's Bird Sanctuary,TRUE,2,4581 Finch St.,Bayshore,CA,94326,INVALID,INVALID,2,4581 Finch St.,Bayshore,CA,94326,INVALID,INVALID,USD,United States Dollar,2021-11-28T16:48:43-08:00,2021-12-05T13:39:32-08:00,(650) 555-3311,Birds@Intuit.com,,,,,,,,
FALSE,FALSE,FALSE,85,85,Print,QBO,FALSE,2,0,Bill,Lucchini,Bill's Windsurf Shop,Bill's Windsurf Shop,Bill's Windsurf Shop,Bill's Windsurf Shop,TRUE,3,12 Ocean Dr.,Half Moon Bay,CA,94213,37.4307072,-122.4295234,,,,,,,,USD,United States Dollar,2021-11-28T16:49:28-08:00,2021-12-05T12:56:01-08:00,(415) 444-6538,Surf@Intuit.com,,,,,,,,
FALSE,FALSE,FALSE,0,0,Print,QBO,FALSE,3,0,Grace,Pariente,Cool Cars,Cool Cars,Cool Cars,Cool Cars,TRUE,4,65 Ocean Dr.,Half Moon Bay,CA,94213,37.4300318,-122.4336537,,,,,,,,USD,United States Dollar,2021-11-28T16:51:22-08:00,2021-12-06T12:59:21-08:00,(415) 555-9933,Cool_Cars@intuit.com,,,,,,,,
FALSE,FALSE,FALSE,0,0,Print,QBO,FALSE,4,0,Diego,Rodriguez,Diego Rodriguez,,Diego Rodriguez,Diego Rodriguez,TRUE,5,321 Channing,Palo Alto,CA,94303,37.443231,-122.1561846,,,,,,,,USD,United States Dollar,2021-11-28T16:52:08-08:00,2021-11-28T16:52:08-08:00,(650) 555-4477,Diego@Rodriguez.com,,,,,,,,
TRUE,FALSE,FALSE,0,0,Print,QBO,FALSE,5,1,Peter,Dukes,Dukes Basketball Camp,Dukes Basketball Camp,Dukes Basketball Camp,Dukes Basketball Camp,TRUE,6,25 Court St.,Tucson,AZ,85719,32.2841116,-110.9744298,6,25 Court St.,Tucson,AZ,85719,32.2841116,-110.9744298,USD,United States Dollar,2021-11-28T16:54:59-08:00,2021-12-05T13:28:29-08:00,(520) 420-5638,Dukes_bball@intuit.com,,,,,,,,
FALSE,FALSE,FALSE,0,0,Print,QBO,FALSE,6,0,Dylan,Sollfrank,Dylan Sollfrank,,Dylan Sollfrank,Dylan Sollfrank,TRUE,,,,,,,,,,,,,,,USD,United States Dollar,2021-11-28T16:55:21-08:00,2021-11-28T16:55:21-08:00,,,,,,,,,,
FALSE,FALSE,FALSE,0,562.5,Print,QBO,FALSE,7,0,Kirby,Freeman,Freeman Sporting Goods,Freeman Sporting Goods,Freeman Sporting Goods,Freeman Sporting Goods,TRUE,7,370 Easy St.,Middlefield,CA,94482,37.4031672,-122.0642815,7,370 Easy St.,Middlefield,CA,94482,37.4031672,-122.0642815,USD,United States Dollar,2021-11-28T16:57:10-08:00,2021-12-06T13:15:36-08:00,(650) 555-0987,Sporting_goods@intuit.com,(973) 555-8849,(520) 555-7894,http://sportinggoods.intuit.com,,,,,
FALSE,TRUE,FALSE,477.5,477.5,Print,QBO,FALSE,8,0,Sasha,Tillou,Freeman Sporting Goods:0969 Ocean View Road,Freeman Sporting Goods,0969 Ocean View Road,Freeman Sporting Goods,TRUE,8,370 Easy St.,Middlefield,CA,94482,37.4031672,-122.0642815,8,370 Easy St.,Middlefield,CA,94482,37.4031672,-122.0642815,USD,United States Dollar,2021-11-28T17:00:01-08:00,2021-12-06T13:15:36-08:00,(415) 555-9933,Sporting_goods@intuit.com,(973) 555-8849,(520) 555-7894,http://sportinggoods.intuit.com,1,7,,,
FALSE,TRUE,FALSE,85,85,Print,QBO,FALSE,9,0,Amelia,,Freeman Sporting Goods:55 Twin Lane,Freeman Sporting Goods,55 Twin Lane,Freeman Sporting Goods,TRUE,9,370 Easy St.,Middlefield,CA,94482,37.4031672,-122.0642815,9,370 Easy St.,Middlefield,CA,94482,37.4031672,-122.0642815,USD,United States Dollar,2021-11-28T17:01:00-08:00,2021-12-05T13:23:52-08:00,(650) 555-0987,Sporting_goods@intuit.com,(973) 555-8849,(520) 555-7894,http://sportinggoods.intuit.com,1,7,,,
FALSE,FALSE,FALSE,629.1,629.1,Print,QBO,FALSE,10,0,Geeta,Kalapatapu,Geeta Kalapatapu,,Geeta Kalapatapu,Geeta Kalapatapu,TRUE,10,1987 Main St.,Middlefield,CA,94303,37.445013,-122.1391443,10,1987 Main St.,Middlefield,CA,94303,37.445013,-122.1391443,USD,United States Dollar,2021-11-28T17:02:22-08:00,2021-12-05T13:41:59-08:00,(650) 555-0022,Geeta@Kalapatapu.com,,,,,,,,
FALSE,FALSE,FALSE,0,0,Print,QBO,FALSE,11,0,Lisa,Gevelber,Gevelber Photography,Gevelber Photography,Gevelber Photography,Gevelber Photography,TRUE,11,1045 Main St.,Half Moon Bay,CA,94213,37.4559621,-122.429939,11,1045 Main St.,Half Moon Bay,CA,94213,37.4559621,-122.429939,USD,United States Dollar,2021-11-28T17:04:02-08:00,2021-11-28T17:04:02-08:00,(415) 222-4345,Photography@intuit.com,,,http://gevelberphotography.com,,,,,
FALSE,FALSE,FALSE,81,81,Print,QBO,FALSE,12,0,Jeff,Chin,Jeff's Jalopies,Jeff's Jalopies,Jeff's Jalopies,Jeff's Jalopies,TRUE,12,12 Willow Rd.,Menlo Park,CA,94305,37.4495308,-122.1726923,12,12 Willow Rd.,Menlo Park,CA,94305,37.4495308,-122.1726923,USD,United States Dollar,2021-11-28T17:05:09-08:00,2021-12-05T13:25:43-08:00,(650) 555-8989,Jalopies@intuit.com,,,,,,,,
FALSE,FALSE,FALSE,450,450,Print,QBO,FALSE,13,0,John,Melton,John Melton,,John Melton,John Melton,TRUE,13,85 Pine St.,Menlo Park,CA,94304,37.4451342,-122.1409626,13,85 Pine St.,Menlo Park,CA,94304,37.4451342,-122.1409626,USD,United States Dollar,2021-11-28T17:06:42-08:00,2021-12-04T11:06:49-08:00,(650) 555-5879,John@Melton.com,,,,,,,,
FALSE,FALSE,FALSE,0,0,Print,QBO,FALSE,14,0,Kate,Whelan,Kate Whelan,,Kate Whelan,Kate Whelan,TRUE,14,45 First St.,Menlo Park,CA,94304,37.4585825,-122.1352789,14,45 First St.,Menlo Park,CA,94304,37.4585825,-122.1352789,USD,United States Dollar,2021-11-28T17:08:02-08:00,2021-11-28T17:08:02-08:00,(650) 554-8822,Kate@Whelan.com,,,,,,USA,USA,
FALSE,FALSE,FALSE,75,75,Print,QBO,FALSE,16,0,Kathy,Kuplis,Kookies by Kathy,Kookies by Kathy,Kookies by Kathy,Kookies by Kathy,TRUE,16,789 Sugar Lane,Middlefield,CA,94303,37.4530553,-122.1178261,,,,,,,,USD,United States Dollar,2021-11-28T17:11:27-08:00,2021-12-04T15:18:18-08:00,(650) 555-7896,qbwebsamplecompany@yahoo.com,,,,,,,,
FALSE,FALSE,FALSE,314.28,314.28,Print,QBO,FALSE,17,0,Mark,Cho,Mark Cho,,Mark Cho,Mark Cho,TRUE,17,36 Willow Rd,Menlo Park,CA,94304,37.450412,-122.170593,17,36 Willow Rd,Menlo Park,CA,94304,37.450412,-122.170593,USD,United States Dollar,2021-11-28T17:12:16-08:00,2021-12-06T12:57:24-08:00,(650) 554-1479,Mark@Cho.com,,,,,,,,
FALSE,FALSE,FALSE,954.75,954.75,Print,QBO,FALSE,18,0,Kathy,Paulsen,Paulsen Medical Supplies,Paulsen Medical Supplies,Paulsen Medical Supplies,Paulsen Medical Supplies,TRUE,18,900 Main St.,Middlefield,CA,94303,37.445013,-122.1391443,19,38921 S. Boise Ave,Middlefield,CA,94304,37.3989376,-122.1443935,USD,United States Dollar,2021-11-28T17:13:37-08:00,2021-12-04T11:43:20-08:00,(650) 557-4569,Medical@intuit.com,,,,,,,,
FALSE,FALSE,FALSE,0,0,Print,QBO,FALSE,15,1,Karen,Pye,Pye's Cakes,Pye's Cakes,Pye's Cakes,Pye's Cakes,TRUE,15,350 Mountain View Dr.,South Orange,NJ,7079,40.7633073,-74.2426072,15,350 Mountain View Dr.,South Orange,NJ,7079,40.7633073,-74.2426072,USD,United States Dollar,2021-11-28T17:10:24-08:00,2021-12-04T15:30:27-08:00,(973) 555-4652,pyescakes@intuit.com,(973) 555-2234,,http://www.pyescakes.intuit.com,,,,,
FALSE,FALSE,FALSE,0,0,Print,QBO,FALSE,19,0,Jeff,Rago,Rago Travel Agency,Rago Travel Agency,Rago Travel Agency,Rago Travel Agency,TRUE,20,753 Cedar St.,Bayshore,CA,94326,37.7077016,-122.4273232,20,753 Cedar St.,Bayshore,CA,94326,37.7077016,-122.4273232,USD,United States Dollar,2021-11-28T17:14:24-08:00,2021-11-28T17:14:24-08:00,(650) 555-1596,Rago_Travel@intuit.com,,,,,,,,
FALSE,FALSE,FALSE,226,226,Print,QBO,FALSE,20,0,Stephanie,Martini,Red Rock Diner,Red Rock Diner,Red Rock Diner,Red Rock Diner,TRUE,21,500 Red Rock Rd.,Bayshore,CA,94326,INVALID,INVALID,21,500 Red Rock Rd.,Bayshore,CA,94326,INVALID,INVALID,USD,United States Dollar,2021-11-28T17:15:14-08:00,2021-12-05T12:44:45-08:00,(650) 555-4973,qbwebsamplecompany@yahoo.com,,,,,,,,
FALSE,FALSE,FALSE,78.6,78.6,Print,QBO,FALSE,21,0,Rondonuwu,and Vegi,Rondonuwu Fruit and Vegi,,Rondonuwu Fruit and Vegi,Rondonuwu Fruit and Vegi,TRUE,22,847 California Ave.,San Jose,CA,95021,37.3313585,-121.911372,22,847 California Ave.,San Jose,CA,95021,37.3313585,-121.911372,USD,United States Dollar,2021-11-28T17:17:21-08:00,2021-12-05T13:45:12-08:00,(650) 555-2645,Tony@Rondonuwu.com,,,,,,,,Fruit
FALSE,FALSE,FALSE,0,274.5,Print,QBO,FALSE,22,0,Shara,Barnett,Shara Barnett,,Shara Barnett,Shara Barnett,TRUE,23,77 University,Palo Alto,CA,94303,37.4431445,-122.164443,23,77 University,Palo Alto,CA,94303,37.4431445,-122.164443,USD,United States Dollar,2021-11-28T17:18:34-08:00,2021-12-04T11:16:52-08:00,(650) 555-4563,Shara@Barnett.com,,,,,,,,
FALSE,TRUE,FALSE,274.5,274.5,Print,QBO,FALSE,23,0,Shara,Barnett,Shara Barnett:Barnett Design,Barnett Design,Barnett Design,Barnett Design,TRUE,24,19 Main St.,Middlefield,CA,94303,37.445013,-122.1391443,24,19 Main St.,Middlefield,CA,94303,37.445013,-122.1391443,USD,United States Dollar,2021-11-28T17:22:41-08:00,2021-12-04T11:16:52-08:00,(650) 557-1289,Design@intuit.com,,,,1,22,,,
FALSE,FALSE,FALSE,362.07,362.07,Print,QBO,FALSE,24,0,Russ,Sonnenschein,Sonnenschein Family Store,Sonnenschein Family Store,Sonnenschein Family Store,Sonnenschein Family Store,TRUE,25,5647 Cypress Hill Ave.,Middlefield,CA,94303,37.4238562,-122.1141681,25,5647 Cypress Hill Ave.,Middlefield,CA,94303,37.4238562,-122.1141681,USD,United States Dollar,2021-11-28T17:23:24-08:00,2021-12-06T13:16:17-08:00,(650) 557-8463,Familiystore@intuit.com,,,,,,,,
FALSE,FALSE,FALSE,160,160,Print,QBO,FALSE,25,2,Katsuyuki,Yanagawa,Sushi by Katsuyuki,Sushi by Katsuyuki,Sushi by Katsuyuki,Sushi by Katsuyuki,TRUE,26,898 Elm St.,Maplewood,NJ,7040,40.7312816,-74.2652908,26,898 Elm St.,Maplewood,NJ,7040,40.7312816,-74.2652908,USD,United States Dollar,2021-11-28T17:24:26-08:00,2021-12-06T12:52:44-08:00,(505) 570-0147,Sushi@intuit.com,,,,,,,,
FALSE,FALSE,FALSE,414.72,414.72,Print,QBO,FALSE,26,0,Travis,Waldron,Travis Waldron,,Travis Waldron,Travis Waldron,TRUE,27,78 First St.,Monlo Park,CA,94304,37.4585825,-122.1352789,27,78 First St.,Monlo Park,CA,94304,37.4585825,-122.1352789,USD,United States Dollar,2021-11-28T17:25:08-08:00,2021-12-05T13:36:31-08:00,(650) 557-9977,Travis@Waldron.com,,,,,,,,
