AllowIPNPayment,AllowOnlinePayment,AllowOnlineCreditCardPayment,AllowOnlineACHPayment,domain,sparse,Id,SyncToken,CustomField,DocNumber,TxnDate,LinkedTxn,Line,DueDate,TotalAmt,ApplyTaxAfterDiscount,PrintStatus,EmailStatus,Balance,MetaData_CreateTime,MetaData_LastUpdatedTime,CurrencyRef_value,CurrencyRef_name,TxnTaxDetail_TxnTaxCodeRef_value,TxnTaxDetail_TotalTax,TxnTaxDetail_TaxLine,CustomerRef_value,CustomerRef_name,CustomerMemo_value,BillAddr_Id,BillAddr_Line1,BillAddr_Line2,BillAddr_Line3,BillAddr_Line4,BillAddr_Lat,BillAddr_Long,ShipAddr_Id,ShipAddr_Line1,ShipAddr_City,ShipAddr_CountrySubDivisionCode,ShipAddr_PostalCode,ShipAddr_Lat,ShipAddr_Long,SalesTermRef_value,SalesTermRef_name,BillEmail_Address,PrivateNote,DeliveryInfo_DeliveryType
False,False,False,False,QBO,False,1,0,"[{'DefinitionId': '1', 'Name': 'Crew #', 'Type': 'StringType'}]",1749,2021-02-03,[],"[{'Id': '1', 'LineNum': 1, 'Description': 'Weekly Gardening Service', 'Amount': 75.0, 'DetailType': 'SalesItemLineDetail', 'SalesItemLineDetail': {'ItemRef': {'value': '6', 'name': 'Gardening'}, 'UnitPrice': 25, 'Qty': 3, 'TaxCodeRef': {'value': 'TAX'}}}, {'Amount': 75.0, 'DetailType': 'SubTotalLineDetail', 'SubTotalLineDetail': {}}]",2021-03-05,324,False,NotSet,NeedToSend,24,2021-02-03 23:58:48,2021-02-07 03:08:48,GBP,British Pound Sterling,,,,49,Kristy Abercrombie,Thank you for your business and have a great day!,44.0,Boveney,Windsor,,SL4 6QP,51.4910429,-0.651005,,,,,,,,3,Net 30,,particular course majority build ball,Email
False,False,False,False,QBO,False,2,0,"[{'DefinitionId': '1', 'Name': 'Crew #', 'Type': 'StringType'}]",3204,2021-09-28,"[{'TxnId': '101', 'TxnType': 'Payment'}]","[{'Id': '1', 'LineNum': 1, 'Description': '2 cubic ft. bag', 'Amount': 150.0, 'DetailType': 'SalesItemLineDetail', 'SalesItemLineDetail': {'ItemRef': {'value': '15', 'name': 'Soil'}, 'UnitPrice': 10, 'Qty': 15, 'TaxCodeRef': {'value': 'TAX'}}}, {'Id': '2', 'LineNum': 2, 'Description': 'Rock Fountain', 'Amount': 275.0, 'DetailType': 'SalesItemLineDetail', 'SalesItemLineDetail': {'ItemRef': {'value': '5', 'name': 'Rock Fountain'}, 'UnitPrice': 275, 'Qty': 1, 'TaxCodeRef': {'value': 'TAX'}}}, {'Amount': 425.0, 'DetailType': 'SubTotalLineDetail', 'SubTotalLineDetail': {}}]",2021-10-28,620,False,NotSet,NeedToSend,522,2021-09-28 15:28:41,2021-10-01 18:38:41,USD,United States Dollar,,,,12,Jeff's Jalopies,Thank you for your business and have a great day!,12.0,12 Willow Rd.,Menlo Park,CA,94305,37.4495308,-122.1726923,12.0,12 Willow Rd.,Menlo Park,CA,94305.0,37.4495308,-122.1726923,3,Net 30,Jalopies@intuit.com,ago study really range,Email
False,False,False,False,QBO,False,3,0,"[{'DefinitionId': '1', 'Name': 'Crew #', 'Type': 'StringType'}]",2982,2022-04-05,"[{'TxnId': '48', 'TxnType': 'Estimate'}]","[{'Id': '1', 'LineNum': 1, 'Description': 'Custom Design', 'Amount': 300.0, 'LinkedTxn': [{'TxnId': '48', 'TxnType': 'Estimate'}], 'DetailType': 'SalesItemLineDetail', 'SalesItemLineDetail': {'ItemRef': {'value': '4', 'name': 'Design'}, 'UnitPrice': 75, 'Qty': 4, 'TaxCodeRef': {'value': 'NON'}}}, {'Id': '2', 'LineNum': 2, 'Description': 'Installation of landscape design', 'Amount': 250.0, 'LinkedTxn': [{'TxnId': '48', 'TxnType': 'Estimate'}], 'DetailType': 'SalesItemLineDetail', 'SalesItemLineDetail': {'ItemRef': {'value': '7', 'name': 'Installation'}, 'UnitPrice': 50, 'Qty': 5, 'TaxCodeRef': {'value': 'NON'}}}, {'Id': '3', 'LineNum': 3, 'Description': 'Rock Fountain', 'Amount': 275.0, 'LinkedTxn': [{'TxnId': '48', 'TxnType': 'Estimate'}], 'DetailType': 'SalesItemLineDetail', 'SalesItemLineDetail': {'ItemRef': {'value': '5', 'name': 'Rock Fountain'}, 'UnitPrice': 275, 'Qty': 1, 'TaxCodeRef': {'value': 'NON'}}}, {'Id': '4', 'LineNum': 4, 'Description': 'Garden Rocks', 'Amount': 180.0, 'LinkedTxn': [{'TxnId': '48', 'TxnType': 'Estimate'}], 'DetailType': 'SalesItemLineDetail', 'SalesItemLineDetail': {'ItemRef': {'value': '13', 'name': 'Rocks'}, 'UnitPrice': 22.5, 'Qty': 8, 'TaxCodeRef': {'value': 'NON'}}}, {'Amount': 1005.0, 'DetailType': 'SubTotalLineDetail', 'SubTotalLineDetail': {}}, {'Amount': 50.25, 'DetailType': 'DiscountLineDetail', 'DiscountLineDetail': {'PercentBased': True, 'DiscountPercent': 5, 'DiscountAccountRef': {'value': '86', 'name': 'Discounts given'}}}]",2022-05-05,947,False,NotSet,NeedToSend,183,2022-04-05 05:08:32,2022-04-08 08:18:32,USD,United States Dollar,,,,16,Kookies by Kathy,Thank you for your business and have a great day!,16.0,789 Sugar Lane,Middlefield,CA,94303,37.4530553,-122.1178261,,,,,,,,3,Net 30,qbwebsamplecompany@yahoo.com,election religious article,Email
False,False,False,False,QBO,False,4,0,"[{'DefinitionId': '1', 'Name': 'Crew #', 'Type': 'StringType'}]",6756,2021-03-10,"[{'TxnId': '46', 'TxnType': 'Estimate'}]","[{'Id': '1', 'LineNum': 1, 'Description': 'Pest Control Services', 'Amount': 70.0, 'LinkedTxn': [{'TxnId': '46', 'TxnType': 'Estimate'}], 'DetailType': 'SalesItemLineDetail', 'SalesItemLineDetail': {'ItemRef': {'value': '10', 'name': 'Pest Control'}, 'UnitPrice': 35, 'Qty': 2, 'TaxCodeRef': {'value': 'NON'}}}, {'Amount': 70.0, 'DetailType': 'SubTotalLineDetail', 'SubTotalLineDetail': {}}]",2021-04-09,934,False,NotSet,NotSet,459,2021-03-10 11:22:20,2021-03-13 14:32:20,USD,United States Dollar,,,,14,Kate Whelan,Thank you for your business and have a great day!,14.0,45 First St.,Menlo Park,CA,94304,37.4585825,-122.1352789,14.0,45 First St.,Menlo Park,CA,94304.0,37.4585825,-122.1352789,3,Net 30,Kate@Whelan.com,under,
False,False,False,False,QBO,False,5,0,"[{'DefinitionId': '1', 'Name': 'Crew #', 'Type': 'StringType'}]",1840,2023-09-10,[],"[{'Id': '1', 'LineNum': 1, 'Description': 'Sod', 'Amount': 300.0, 'DetailType': 'SalesItemLineDetail', 'SalesItemLineDetail': {'ItemRef': {'value': '14', 'name': 'Sod'}, 'UnitPrice': 15, 'Qty': 20, 'TaxCodeRef': {'value': 'TAX'}}}, {'Id': '2', 'LineNum': 2, 'Description': 'Garden Rocks', 'Amount': 84.0, 'DetailType': 'SalesItemLineDetail', 'SalesItemLineDetail': {'ItemRef': {'value': '13', 'name': 'Rocks'}, 'UnitPrice': 12, 'Qty': 7, 'TaxCodeRef': {'value': 'TAX'}}}, {'Amount': 384.0, 'DetailType': 'SubTotalLineDetail', 'SubTotalLineDetail': {}}]",2023-10-10,647,False,NeedToPrint,NeedToSend,222,2023-09-10 03:42:43,2023-09-13 06:52:43,USD,United States Dollar,2.0,51.76,"[{'Amount': 51.76, 'DetailType': 'TaxLineDetail', 'TaxLineDetail': {'TaxRateRef': {'value': '3'}, 'PercentBased': True, 'TaxPercent': 8, 'NetAmountTaxable': 595.24}}]",8,Freeman Sporting Goods:0969 Ocean View Road,Thank you for your business and have a great day!,8.0,370 Easy St.,Middlefield,CA,94482,37.4031672,-122.0642815,8.0,370 Easy St.,Middlefield,CA,94482.0,37.4031672,-122.0642815,3,Net 30,Sporting_goods@intuit.com,,Email
False,False,False,False,QBO,False,6,0,"[{'DefinitionId': '1', 'Name': 'Crew #', 'Type': 'StringType'}]",8807,2022-11-18,"[{'TxnId': '15', 'TxnType': 'Payment'}]","[{'Id': '1', 'LineNum': 1, 'Description': 'Weekly Gardening Service', 'Amount': 80.0, 'DetailType': 'SalesItemLineDetail', 'SalesItemLineDetail': {'ItemRef': {'value': '6', 'name': 'Gardening'}, 'UnitPrice': 20, 'Qty': 4, 'TaxCodeRef': {'value': 'TAX'}}}, {'Amount': 80.0, 'DetailType': 'SubTotalLineDetail', 'SubTotalLineDetail': {}}]",2022-12-18,696,False,NeedToPrint,NeedToSend,516,2022-11-18 20:30:58,2022-11-21 23:40:58,AUD,Australian Dollar,,,,42,Himateja Madala,Thank you for your business and have a great day!,14.0,105 Woodlawn Drive,Sydney,NSW,2000,-33.7817633,150.953599,,,,,,,,3,Net 30,,quite ago,Email
False,False,False,False,QBO,False,7,0,"[{'DefinitionId': '1', 'Name': 'Crew #', 'Type': 'StringType'}]",1779,2022-09-02,[],"[{'Id': '1', 'LineNum': 1, 'Description': 'Weekly Gardening Service', 'Amount': 50.0, 'DetailType': 'SalesItemLineDetail', 'SalesItemLineDetail': {'ItemRef': {'value': '6', 'name': 'Gardening'}, 'UnitPrice': 25, 'Qty': 2, 'TaxCodeRef': {'value': 'NON'}}}, {'Id': '2', 'LineNum': 2, 'Description': 'Pest Control Services', 'Amount': 35.0, 'DetailType': 'SalesItemLineDetail', 'SalesItemLineDetail': {'ItemRef': {'value': '10', 'name': 'Pest Control'}, 'UnitPrice': 35, 'Qty': 1, 'TaxCodeRef': {'value': 'NON'}}}, {'Amount': 85.0, 'DetailType': 'SubTotalLineDetail', 'SubTotalLineDetail': {}}]",2022-10-02,796,False,NotSet,NotSet,383,2022-09-02 15:05:03,2022-09-05 18:15:03,USD,United States Dollar,,,,11,Gevelber Photography,Thank you for your business and have a great day!,11.0,1045 Main St.,Half Moon Bay,CA,94213,37.4559621,-122.429939,11.0,1045 Main St.,Half Moon Bay,CA,94213.0,37.4559621,-122.429939,3,Net 30,Photography@intuit.com,ready place,
False,False,False,False,QBO,False,8,0,"[{'DefinitionId': '1', 'Name': 'Crew #', 'Type': 'StringType'}]",6520,2023-01-28,"[{'TxnId': '116', 'TxnType': 'Payment'}]","[{'Id': '1', 'LineNum': 1, 'Description': 'Weekly Gardening Service', 'Amount': 80.0, 'DetailType': 'SalesItemLineDetail', 'SalesItemLineDetail': {'ItemRef': {'value': '6', 'name': 'Gardening'}, 'UnitPrice': 20, 'Qty': 4, 'TaxCodeRef': {'value': 'NON'}}}, {'Amount': 80.0, 'DetailType': 'SubTotalLineDetail', 'SubTotalLineDetail': {}}]",2023-02-27,851,False,NotSet,NeedToSend,131,2023-01-28 16:15:52,2023-01-31 19:25:52,AUD,Australian Dollar,,,,30,Adwin Ko,Thank you for your business and have a great day!,2.0,25 Stone Drive,Sydney,NSW,2001,-33.737492,151.195909,,,,,,,,3,Net 30,,herself machine,Email
False,False,False,False,QBO,False,9,1,"[{'DefinitionId': '1', 'Name': 'Crew #', 'Type': 'StringType'}]",8715,2023-06-30,"[{'TxnId': '41', 'TxnType': 'Estimate'}]","[{'Id': '1', 'LineNum': 1, 'Description': 'Rock Fountain', 'Amount': 275.0, 'LinkedTxn': [{'TxnId': '41', 'TxnType': 'Estimate'}], 'DetailType': 'SalesItemLineDetail', 'SalesItemLineDetail': {'ItemRef': {'value': '5', 'name': 'Rock Fountain'}, 'UnitPrice': 275, 'Qty': 1, 'TaxCodeRef': {'value': 'TAX'}}}, {'Id': '2', 'LineNum': 2, 'Description': 'Custom Design', 'Amount': 262.5, 'LinkedTxn': [{'TxnId': '41', 'TxnType': 'Estimate'}], 'DetailType': 'SalesItemLineDetail', 'SalesItemLineDetail': {'ItemRef': {'value': '4', 'name': 'Design'}, 'UnitPrice': 75, 'Qty': 3.5, 'TaxCodeRef': {'value': 'NON'}}}, {'Id': '3', 'LineNum': 3, 'Description': 'Fountain Pump', 'Amount': 45.0, 'LinkedTxn': [{'TxnId': '41', 'TxnType': 'Estimate'}], 'DetailType': 'SalesItemLineDetail', 'SalesItemLineDetail': {'ItemRef': {'value': '11', 'name': 'Pump'}, 'UnitPrice': 22.5, 'Qty': 2, 'TaxCodeRef': {'value': 'TAX'}}}, {'Amount': 582.5, 'DetailType': 'SubTotalLineDetail', 'SubTotalLineDetail': {}}]",2023-07-30,989,False,NeedToPrint,NeedToSend,816,2023-06-30 21:08:57,2023-07-04 00:18:57,USD,United States Dollar,,,,5,Dukes Basketball Camp,Thank you for your business and have a great day!,6.0,25 Court St.,Tucson,AZ,85719,32.2841116,-110.9744298,6.0,25 Court St.,Tucson,AZ,85719.0,32.2841116,-110.9744298,3,Net 30,Dukes_bball@intuit.com,level gas smile,Email
False,False,False,False,QBO,False,10,0,"[{'DefinitionId': '1', 'Name': 'Crew #', 'Type': 'StringType'}]",8977,2023-10-26,"[{'TxnId': '15', 'TxnType': 'Payment'}]","[{'Id': '1', 'LineNum': 1, 'Description': 'Weekly Gardening Service', 'Amount': 80.0, 'DetailType': 'SalesItemLineDetail', 'SalesItemLineDetail': {'ItemRef': {'value': '6', 'name': 'Gardening'}, 'UnitPrice': 20, 'Qty': 4, 'TaxCodeRef': {'value': 'TAX'}}}, {'Amount': 80.0, 'DetailType': 'SubTotalLineDetail', 'SubTotalLineDetail': {}}]",2023-11-25,425,False,NotSet,NotSet,391,2023-10-26 11:01:14,2023-10-29 14:11:14,GBP,British Pound Sterling,,,,49,Kristy Abercrombie,Thank you for your business and have a great day!,44.0,Boveney,Windsor,,SL4 6QP,51.4910429,-0.651005,,,,,,,,3,Net 30,,risk ahead card area speech,
