domain,sparse,Id,SyncToken,CustomField,DocNumber,TxnDate,LinkedTxn,Line,TotalAmt,ApplyTaxAfterDiscount,PrintStatus,EmailStatus,Balance,MetaData_CreateTime,MetaData_LastUpdatedTime,CurrencyRef_value,CurrencyRef_name,TxnTaxDetail_TotalTax,CustomerRef_value,CustomerRef_name,CustomerMemo_value,BillAddr_Id,BillAddr_Line1,BillAddr_Line2,BillAddr_Line3,BillAddr_Line4,BillAddr_Lat,BillAddr_Long,BillEmail_Address,DepositToAccountRef_value,DepositToAccountRef_name,ShipAddr_Id,ShipAddr_Line1,ShipAddr_City,ShipAddr_CountrySubDivisionCode,ShipAddr_PostalCode,ShipAddr_Lat,ShipAddr_Long,ShipAddr_Country,PaymentMethodRef_value,PaymentMethodRef_name,PaymentRefNum
QBO,False,1,0,"[{'DefinitionId': '1', 'Name': 'Crew #', 'Type': 'StringType'}]",2638,2021-10-08,[],"[{'Id': '1', 'LineNum': 1, 'Description': 'Weekly Gardening Service', 'Amount': 80.0, 'DetailType': 'SalesItemLineDetail', 'SalesItemLineDetail': {'ItemRef': {'value': '6', 'name': 'Gardening'}, 'UnitPrice': 20, 'Qty': 4, 'TaxCodeRef': {'value': 'TAX'}}}, {'Amount': 80.0, 'DetailType': 'SubTotalLineDetail', 'SubTotalLineDetail': {}}]",605,False,NeedToPrint,NeedToSend,65,2021-10-08 22:47:57,2021-10-12 01:57:57,USD,United States Dollar,,17,Mark Cho,Thank you for your business and have a great day!,17.0,36 Willow Rd,Menlo Park,CA,94304,37.450412,-122.170593,Mark@Cho.com,65,Fountain and Garden Lighting,17.0,36 Willow Rd,Menlo Park,CA,94304.0,37.450412,-122.170593,,1.0,Cash,
QBO,False,2,0,"[{'DefinitionId': '1', 'Name': 'Crew #', 'Type': 'StringType'}]",7446,2023-01-01,[],"[{'Id': '1', 'LineNum': 1, 'Description': 'Custom Design', 'Amount': 375.0, 'DetailType': 'SalesItemLineDetail', 'SalesItemLineDetail': {'ItemRef': {'value': '4', 'name': 'Design'}, 'UnitPrice': 75, 'Qty': 5, 'TaxCodeRef': {'value': 'NON'}}}, {'Amount': 375.0, 'DetailType': 'SubTotalLineDetail', 'SubTotalLineDetail': {}}]",102,False,NotSet,NeedToSend,74,2023-01-01 02:00:47,2023-01-04 05:10:47,USD,United States Dollar,8.16,14,Kate Whelan,Thank you for your business and have a great day!,14.0,45 First St.,Menlo Park,CA,94304,37.4585825,-122.1352789,Kate@Whelan.com,56,Fuel,14.0,45 First St.,Menlo Park,CA,94304.0,37.4585825,-122.1352789,USA,1.0,Cash,
QBO,False,3,0,"[{'DefinitionId': '1', 'Name': 'Crew #', 'Type': 'StringType'}]",9476,2021-10-24,"[{'TxnId': '26', 'TxnType': 'ReimburseCharge'}, {'TxnId': '40', 'TxnType': 'Payment'}]","[{'Id': '1', 'LineNum': 1, 'Description': 'Lumber', 'Amount': 103.55, 'DetailType': 'SalesItemLineDetail', 'SalesItemLineDetail': {'ServiceDate': '2021-12-03', 'ItemRef': {'value': '1', 'name': 'Services'}, 'TaxCodeRef': {'value': 'NON'}}}, {'Amount': 103.55, 'DetailType': 'SubTotalLineDetail', 'SubTotalLineDetail': {}}]",231,False,NotSet,NotSet,83,2021-10-24 16:12:53,2021-10-27 19:22:53,AUD,Australian Dollar,18.48,52,Nadia Phillipchuk,Thank you for your business and have a great day!,,,,,,,,,84,Accounts Receivable (A/R),,,,,,,,,,,
QBO,False,4,1,"[{'DefinitionId': '1', 'Name': 'Crew #', 'Type': 'StringType'}]",1086,2021-02-03,"[{'TxnId': '15', 'TxnType': 'Payment'}]","[{'Id': '1', 'LineNum': 1, 'Description': 'Weekly Gardening Service', 'Amount': 80.0, 'DetailType': 'SalesItemLineDetail', 'SalesItemLineDetail': {'ItemRef': {'value': '6', 'name': 'Gardening'}, 'UnitPrice': 20, 'Qty': 4, 'TaxCodeRef': {'value': 'TAX'}}}, {'Amount': 80.0, 'DetailType': 'SubTotalLineDetail', 'SubTotalLineDetail': {}}]",835,False,NeedToPrint,NotSet,735,2021-02-03 21:36:58,2021-02-07 00:46:58,AUD,Australian Dollar,66.8,37,Clement's Cleaners,Thank you for your business and have a great day!,8.0,101 River St,Melbourne,VIC,3001,-37.840717,144.88504,,1,Services,8.0,101 River St,Melbourne,VIC,3001.0,-37.840717,144.88504,,,,
QBO,False,5,0,"[{'DefinitionId': '1', 'Name': 'Crew #', 'Type': 'StringType'}]",4645,2020-12-31,[],"[{'Id': '1', 'LineNum': 1, 'Description': 'Weekly Gardening Service', 'Amount': 80.0, 'DetailType': 'SalesItemLineDetail', 'SalesItemLineDetail': {'ItemRef': {'value': '6', 'name': 'Gardening'}, 'UnitPrice': 20, 'Qty': 4, 'TaxCodeRef': {'value': 'TAX'}}}, {'Amount': 80.0, 'DetailType': 'SubTotalLineDetail', 'SubTotalLineDetail': {}}]",573,False,NotSet,NeedToSend,70,2020-12-31 12:17:52,2021-01-03 15:27:52,USD,United States Dollar,45.84,14,Kate Whelan,Thank you for your business and have a great day!,14.0,45 First St.,Menlo Park,CA,94304,37.4585825,-122.1352789,Kate@Whelan.com,33,Accounts Payable (A/P),14.0,45 First St.,Menlo Park,CA,94304.0,37.4585825,-122.1352789,USA,,,
QBO,False,6,0,"[{'DefinitionId': '1', 'Name': 'Crew #', 'Type': 'StringType'}]",4919,2022-01-03,[],"[{'Id': '1', 'LineNum': 1, 'Description': 'Custom Design', 'Amount': 375.0, 'DetailType': 'SalesItemLineDetail', 'SalesItemLineDetail': {'ItemRef': {'value': '4', 'name': 'Design'}, 'UnitPrice': 75, 'Qty': 5, 'TaxCodeRef': {'value': 'NON'}}}, {'Amount': 375.0, 'DetailType': 'SubTotalLineDetail', 'SubTotalLineDetail': {}}]",791,False,NotSet,NotSet,92,2022-01-03 00:57:35,2022-01-06 04:07:35,USD,United States Dollar,63.28,13,John Melton,Thank you for your business and have a great day!,13.0,85 Pine St.,Menlo Park,CA,94304,37.4451342,-122.1409626,John@Melton.com,76,Gas and Electric,13.0,85 Pine St.,Menlo Park,CA,94304.0,37.4451342,-122.1409626,,2.0,Cheque,49113.0
QBO,False,7,0,"[{'DefinitionId': '1', 'Name': 'Crew #', 'Type': 'StringType'}]",3324,2022-07-04,"[{'TxnId': '15', 'TxnType': 'Payment'}]","[{'Id': '1', 'LineNum': 1, 'Description': 'Weekly Gardening Service', 'Amount': 80.0, 'DetailType': 'SalesItemLineDetail', 'SalesItemLineDetail': {'ItemRef': {'value': '6', 'name': 'Gardening'}, 'UnitPrice': 20, 'Qty': 4, 'TaxCodeRef': {'value': 'TAX'}}}, {'Amount': 80.0, 'DetailType': 'SubTotalLineDetail', 'SubTotalLineDetail': {}}]",147,False,NotSet,NotSet,27,2022-07-04 23:37:54,2022-07-08 02:47:54,AUD,Australian Dollar,,35,Charlie Whitehead,Thank you for your business and have a great day!,6.0,14 Kerr St,Melbourne,VIC,3001,-37.7964762,144.9760071,,21,Taxes & Licenses,,,,,,,,,1.0,Cash,
QBO,False,8,0,"[{'DefinitionId': '1', 'Name': 'Crew #', 'Type': 'StringType'}]",4839,2021-09-22,"[{'TxnId': '48', 'TxnType': 'Estimate'}]","[{'Id': '1', 'LineNum': 1, 'Description': 'Custom Design', 'Amount': 300.0, 'LinkedTxn': [{'TxnId': '48', 'TxnType': 'Estimate'}], 'DetailType': 'SalesItemLineDetail', 'SalesItemLineDetail': {'ItemRef': {'value': '4', 'name': 'Design'}, 'UnitPrice': 75, 'Qty': 4, 'TaxCodeRef': {'value': 'NON'}}}, {'Id': '2', 'LineNum': 2, 'Description': 'Installation of landscape design', 'Amount': 250.0, 'LinkedTxn': [{'TxnId': '48', 'TxnType': 'Estimate'}], 'DetailType': 'SalesItemLineDetail', 'SalesItemLineDetail': {'ItemRef': {'value': '7', 'name': 'Installation'}, 'UnitPrice': 50, 'Qty': 5, 'TaxCodeRef': {'value': 'NON'}}}, {'Id': '3', 'LineNum': 3, 'Description': 'Rock Fountain', 'Amount': 275.0, 'LinkedTxn': [{'TxnId': '48', 'TxnType': 'Estimate'}], 'DetailType': 'SalesItemLineDetail', 'SalesItemLineDetail': {'ItemRef': {'value': '5', 'name': 'Rock Fountain'}, 'UnitPrice': 275, 'Qty': 1, 'TaxCodeRef': {'value': 'NON'}}}, {'Id': '4', 'LineNum': 4, 'Description': 'Garden Rocks', 'Amount': 180.0, 'LinkedTxn': [{'TxnId': '48', 'TxnType': 'Estimate'}], 'DetailType': 'SalesItemLineDetail', 'SalesItemLineDetail': {'ItemRef': {'value': '13', 'name': 'Rocks'}, 'UnitPrice': 22.5, 'Qty': 8, 'TaxCodeRef': {'value': 'NON'}}}, {'Amount': 1005.0, 'DetailType': 'SubTotalLineDetail', 'SubTotalLineDetail': {}}, {'Amount': 50.25, 'DetailType': 'DiscountLineDetail', 'DiscountLineDetail': {'PercentBased': True, 'DiscountPercent': 5, 'DiscountAccountRef': {'value': '86', 'name': 'Discounts given'}}}]",982,False,NeedToPrint,NeedToSend,190,2021-09-22 03:35:36,2021-09-25 06:45:36,AUD,Australian Dollar,78.56,33,Cathy Quon,Thank you for your business and have a great day!,5.0,12 Bagot Pl,Melbourne,VIC,3001,INVALID,INVALID,,49,Plants and Soil,,,,,,,,,,,
QBO,False,9,0,"[{'DefinitionId': '1', 'Name': 'Crew #', 'Type': 'StringType'}]",1124,2023-01-24,[],"[{'Id': '1', 'LineNum': 1, 'Description': 'Weekly Gardening Service', 'Amount': 80.0, 'DetailType': 'SalesItemLineDetail', 'SalesItemLineDetail': {'ItemRef': {'value': '6', 'name': 'Gardening'}, 'UnitPrice': 20, 'Qty': 4, 'TaxCodeRef': {'value': 'TAX'}}}, {'Amount': 80.0, 'DetailType': 'SubTotalLineDetail', 'SubTotalLineDetail': {}}]",833,False,NotSet,NotSet,142,2023-01-24 01:47:46,2023-01-27 04:57:46,AUD,Australian Dollar,,42,Himateja Madala,Thank you for your business and have a great day!,14.0,105 Woodlawn Drive,Sydney,NSW,2000,-33.7817633,150.953599,,44,Notes Payable,,,,,,,,,2.0,Cheque,45231.0
QBO,False,10,0,"[{'DefinitionId': '1', 'Name': 'Crew #', 'Type': 'StringType'}]",7174,2021-12-08,"[{'TxnId': '33', 'TxnType': 'Payment'}]","[{'Id': '1', 'LineNum': 1, 'Description': 'Weekly Gardening Service', 'Amount': 50.0, 'DetailType': 'SalesItemLineDetail', 'SalesItemLineDetail': {'ItemRef': {'value': '6', 'name': 'Gardening'}, 'UnitPrice': 25, 'Qty': 2, 'TaxCodeRef': {'value': 'TAX'}}}, {'Amount': 50.0, 'DetailType': 'SubTotalLineDetail', 'SubTotalLineDetail': {}}]",779,False,NotSet,NotSet,56,2021-12-08 03:05:02,2021-12-11 06:15:02,USD,United States Dollar,62.32,20,Red Rock Diner,Thank you for your business and have a great day!,21.0,500 Red Rock Rd.,Bayshore,CA,94326,INVALID,INVALID,qbwebsamplecompany@yahoo.com,45,Landscaping Services,21.0,500 Red Rock Rd.,Bayshore,CA,94326.0,INVALID,INVALID,,1.0,Cash,
