TxnDate,NameOf,BillableStatus,Taxable,HourlyRate,Hours,Minutes,Description,domain,sparse,Id,SyncToken,EmployeeRef_value,EmployeeRef_name,CustomerRef_value,CustomerRef_name,ItemRef_value,ItemRef_name,MetaData_CreateTime,MetaData_LastUpdatedTime
2022-07-09,Employee,Billable,False,34,22,14,Sod,QBO,False,1,0,69,0,34,Chadha's Consultants,14,Sod,2022-07-09 04:17:23,2022-07-09 04:17:23
2022-07-13,Employee,Billable,False,31,12,57,Rock Fountain,QBO,False,2,0,69,0,9,Freeman Sporting Goods:55 Twin Lane,5,Rock Fountain,2022-07-13 16:56:51,2022-07-13 16:56:51
2021-01-14,Employee,Billable,False,72,17,51,Sprinkler Heads,QBO,False,3,1,12,1,37,Clement's Cleaners,16,Sprinkler Heads,2021-01-14 14:34:38,2021-01-14 14:34:38
2023-07-12,Employee,Billable,False,36,22,2,Weekly Gardening Service,QBO,False,4,0,69,0,11,Gevelber Photography,6,Gardening,2023-07-12 01:48:19,2023-07-12 01:48:19
2022-10-01,Employee,HasBeenBilled,False,88,21,6,Weekly Gardening Service,QBO,False,5,0,67,0,10,Geeta Kalapatapu,6,Gardening,2022-10-01 10:58:04,2022-10-01 10:58:04
2020-12-16,Employee,Billable,False,59,29,45,Rock Fountain,QBO,False,6,1,12,1,25,Sushi by Katsuyuki,5,Rock Fountain,2020-12-16 15:13:51,2020-12-16 15:13:51
2023-01-18,Employee,HasBeenBilled,False,66,10,31,Rock Fountain,QBO,False,7,1,13,1,22,Shara Barnett,5,Rock Fountain,2023-01-18 16:02:00,2023-01-18 16:02:00
2021-12-28,Employee,NotBillable,False,0,4,19,Weekly Gardening Service,QBO,False,8,0,67,0,12,Jeff's Jalopies,6,Gardening,2021-12-28 11:20:35,2021-12-28 11:20:35
2021-07-29,Employee,Billable,False,92,7,0,Weekly Gardening Service,QBO,False,9,0,68,0,7,Freeman Sporting Goods,6,Gardening,2021-07-29 21:53:16,2021-07-29 21:53:16
2022-06-19,Employee,NotBillable,False,0,9,46,Sprinkler Heads,QBO,False,10,0,69,0,7,Freeman Sporting Goods,16,Sprinkler Heads,2022-06-19 11:55:42,2022-06-19 11:55:42
2021-04-09,Employee,Billable,False,97,14,56,Weekly Gardening Service,QBO,False,11,1,13,1,43,Jacint Tumacder,6,Gardening,2021-04-09 13:53:47,2021-04-09 13:53:47
